epoch;lr-Adam;step;train_loss_epoch;train_loss_step;val_MAE;val_MAPE;val_RMSE;val_SMAPE;val_loss
73;;739;0,04678706;;;;;;
;5,00E-05;740;;;;;;;
74;;749;;0,051171412;;;;;
74;;749;;;0,112169932;0,513417445;0,201986935;0,636845793;0,066112654
74;;749;0,046255642;;;;;;
;5,00E-05;750;;;;;;;
75;;759;;;0,112229283;0,512419902;0,202110378;0,637156908;0,065935522
75;;759;0,050642276;;;;;;
;5,00E-05;760;;;;;;;
76;;769;;;0,112176944;0,511532492;0,202102966;0,636494393;0,066031107
76;;769;0,0473751;;;;;;
;5,00E-05;770;;;;;;;
77;;779;;;0,111937348;0,512488772;0,201854385;0,634371271;0,065934114
77;;779;0,045620602;;;;;;
;5,00E-05;780;;;;;;;
78;;789;;;0,111797569;0,515146322;0,201702051;0,633071877;0,065746853
78;;789;0,047265698;;;;;;
;5,00E-05;790;;;;;;;
79;;799;;0,047977488;;;;;
79;;799;;;0,111776516;0,51872554;0,201652627;0,632951901;0,065671676
79;;799;0,045825542;;;;;;
;5,00E-05;800;;;;;;;
80;;809;;;0,111926502;0,518975447;0,201802792;0,634357743;0,065887089
80;;809;0,046173546;;;;;;
;5,00E-05;810;;;;;;;
81;;819;;;0,112083318;0,516305823;0,202023021;0,635478031;0,065992565
81;;819;0,046062675;;;;;;
;5,00E-05;820;;;;;;;
82;;829;;;0,111727362;0,518800969;0,201648729;0,63222116;0,065894079
82;;829;0,0463831;;;;;;
;5,00E-05;830;;;;;;;
83;;839;;;0,111613874;0,521508229;0,201494848;0,631311645;0,065673643
83;;839;0,049161522;;;;;;
;5,00E-05;840;;;;;;;
84;;849;;0,045917276;;;;;
84;;849;;;0,112183848;0,517579497;0,202133928;0,636032137;0,065776322
84;;849;0,045548907;;;;;;
;2,50E-05;850;;;;;;;
85;;859;;;0,112285674;0,518034209;0,202229225;0,636978654;0,065675824
85;;859;0,046843965;;;;;;
;2,50E-05;860;;;;;;;
86;;869;;;0,11216814;0,519740529;0,202075274;0,636169338;0,065473811
86;;869;0,051366116;;;;;;
;2,50E-05;870;;;;;;;
87;;879;;;0,112192518;0,519086312;0,202101812;0,636417268;0,06553519
87;;879;0,046631318;;;;;;
;2,50E-05;880;;;;;;;
88;;889;;;0,112291798;0,519002324;0,202215342;0,637213161;0,065700673
88;;889;0,047020404;;;;;;
;2,50E-05;890;;;;;;;
89;;899;;0,041545545;;;;;
89;;899;;;0,11217068;0,521152764;0,202078233;0,636078464;0,065951884
89;;899;0,045050949;;;;;;
;2,50E-05;900;;;;;;;
